y,x,channel
0,0,R
0,0,G
0,0,B
0,1,R
0,1,G
0,1,B
0,2,R
0,2,G
0,2,B
0,3,R
0,3,G
0,3,B
0,4,R
0,4,G
0,4,B
0,5,R
0,5,G
0,5,B
0,6,R
0,6,G
0,6,B
0,7,R
0,7,G
0,7,B
0,8,R
0,8,G
0,8,B
0,9,R
0,9,G
0,9,B
0,10,R
0,10,G
0,10,B
0,11,R
0,11,G
0,11,B
0,12,R
0,12,G
0,12,B
0,13,R
0,13,G
0,13,B
0,14,R
0,14,G
0,14,B
0,15,R
0,15,G
0,15,B
0,16,R
0,16,G
0,16,B
0,17,R
0,17,G
0,17,B
0,18,R
0,18,G
0,18,B
0,19,R
0,19,G
0,19,B
0,20,R
0,20,G
0,20,B
0,21,R
0,21,G
0,21,B
0,22,R
0,22,G
0,22,B
0,23,R
0,23,G
0,23,B
0,24,R
0,24,G
0,24,B
0,25,R
0,25,G
0,25,B
0,26,R
0,26,G
0,26,B
0,27,R
0,27,G
0,27,B
0,28,R
0,28,G
0,28,B
0,29,R
0,29,G
0,29,B
0,30,R
0,30,G
0,30,B
0,31,R
0,31,G
0,31,B
0,32,R
0,32,G
0,32,B
0,33,R
0,33,G
0,33,B
0,34,R
0,34,G
0,34,B
0,35,R
0,35,G
0,35,B
0,36,R
0,36,G
0,36,B
0,37,R
0,37,G
0,37,B
0,38,R
0,38,G
0,38,B
0,39,R
0,39,G
0,39,B
0,40,R
0,40,G
0,40,B
0,41,R
0,41,G
0,41,B
0,42,R
0,42,G
0,42,B
0,43,R
0,43,G
0,43,B
0,44,R
0,44,G
0,44,B
0,45,R
0,45,G
0,45,B
0,46,R
0,46,G
0,46,B
0,47,R
0,47,G
0,47,B
0,48,R
0,48,G
0,48,B
0,49,R
0,49,G
0,49,B
0,50,R
0,50,G
0,50,B
0,51,R
0,51,G
0,51,B
0,52,R
0,52,G
0,52,B
0,53,R
0,53,G
0,53,B
0,54,R
0,54,G
0,54,B
0,55,R
0,55,G
0,55,B
0,56,R
0,56,G
0,56,B
0,57,R
0,57,G
0,57,B
0,58,R
0,58,G
0,58,B
0,59,R
0,59,G
0,59,B
0,60,R
0,60,G
0,60,B
0,61,R
0,61,G
0,61,B
0,62,R
0,62,G
0,62,B
0,63,R
0,63,G
0,63,B
0,64,R
0,64,G
0,64,B
0,65,R
0,65,G
0,65,B
0,66,R
0,66,G
0,66,B
0,67,R
0,67,G
0,67,B
0,68,R
0,68,G
0,68,B
0,69,R
0,69,G
0,69,B
0,70,R
0,70,G
0,70,B
0,71,R
0,71,G
0,71,B
0,72,R
0,72,G
0,72,B
0,73,R
0,73,G
0,73,B
0,74,R
0,74,G
0,74,B
0,75,R
0,75,G
0,75,B
0,76,R
0,76,G
0,76,B
0,77,R
0,77,G
0,77,B
0,78,R
0,78,G
0,78,B
0,79,R
0,79,G
0,79,B
0,80,R
0,80,G
0,80,B
0,81,R
0,81,G
0,81,B
0,82,R
0,82,G
0,82,B
0,83,R
0,83,G
0,83,B
0,84,R
0,84,G
0,84,B
0,85,R
0,85,G
0,85,B
0,86,R
0,86,G
0,86,B
0,87,R
0,87,G
0,87,B
0,88,R
0,88,G
0,88,B
0,89,R
0,89,G
0,89,B
0,90,R
0,90,G
0,90,B
0,91,R
0,91,G
0,91,B
0,92,R
0,92,G
0,92,B
0,93,R
0,93,G
0,93,B
0,94,R
0,94,G
0,94,B
0,95,R
0,95,G
0,95,B
0,96,R
0,96,G
0,96,B
0,97,R
0,97,G
0,97,B
0,98,R
0,98,G
0,98,B
0,99,R
0,99,G
0,99,B
0,100,R
0,100,G
0,100,B
0,101,R
0,101,G
0,101,B
0,102,R
0,102,G
0,102,B
0,103,R
0,103,G
0,103,B
0,104,R
0,104,G
0,104,B
0,105,R
0,105,G
0,105,B
0,106,R
0,106,G
0,106,B
0,107,R
0,107,G
0,107,B
0,108,R
0,108,G
0,108,B
0,109,R
0,109,G
0,109,B
0,110,R
0,110,G
0,110,B
0,111,R
0,111,G
0,111,B
0,112,R
0,112,G
0,112,B
0,113,R
0,113,G
0,113,B
0,114,R
0,114,G
0,114,B
0,115,R
0,115,G
0,115,B
0,116,R
0,116,G
0,116,B
0,117,R
0,117,G
0,117,B
0,118,R
0,118,G
0,118,B
0,119,R
0,119,G
0,119,B
0,120,R
0,120,G
0,120,B
0,121,R
0,121,G
0,121,B
0,122,R
0,122,G
0,122,B
0,123,R
0,123,G
0,123,B
0,124,R
0,124,G
0,124,B
0,125,R
0,125,G
0,125,B
0,126,R
0,126,G
0,126,B
0,127,R
0,127,G
0,127,B
0,128,R
0,128,G
0,128,B
0,129,R
0,129,G
0,129,B
0,130,R
0,130,G
0,130,B
0,131,R
0,131,G
0,131,B
0,132,R
0,132,G
0,132,B
0,133,R
0,133,G
0,133,B
0,134,R
0,134,G
0,134,B
0,135,R
0,135,G
0,135,B
0,136,R
0,136,G
0,136,B
0,137,R
0,137,G
0,137,B
0,138,R
0,138,G
0,138,B
0,139,R
0,139,G
0,139,B
0,140,R
0,140,G
0,140,B
0,141,R
0,141,G
0,141,B
0,142,R
0,142,G
0,142,B
0,143,R
0,143,G
0,143,B
0,144,R
0,144,G
0,144,B
0,145,R
0,145,G
0,145,B
0,146,R
0,146,G
0,146,B
0,147,R
0,147,G
0,147,B
0,148,R
0,148,G
0,148,B
0,149,R
0,149,G
0,149,B
0,150,R
0,150,G
0,150,B
0,151,R
0,151,G
0,151,B
0,152,R
0,152,G
0,152,B
0,153,R
0,153,G
0,153,B
0,154,R
0,154,G
0,154,B
0,155,R
0,155,G
0,155,B
0,156,R
0,156,G
0,156,B
0,157,R
0,157,G
0,157,B
0,158,R
0,158,G
0,158,B
0,159,R
0,159,G
0,159,B
0,160,R
0,160,G
0,160,B
0,161,R
0,161,G
0,161,B
0,162,R
0,162,G
0,162,B
0,163,R
0,163,G
0,163,B
0,164,R
0,164,G
0,164,B
0,165,R
0,165,G
0,165,B
0,166,R
0,166,G
0,166,B
0,167,R
0,167,G
0,167,B
0,168,R
0,168,G
0,168,B
0,169,R
0,169,G
0,169,B
0,170,R
0,170,G
0,170,B
0,171,R
0,171,G
0,171,B
0,172,R
0,172,G
0,172,B
